,ASSETME,CORR,algo_volatility,algorithm_period_return,alpha,benchmark_period_return,benchmark_volatility,beta,capital_used,ending_cash,ending_exposure,ending_value,excess_return,gross_leverage,long_exposure,long_value,longs_count,max_drawdown,max_leverage,net_leverage,orders,period_close,period_label,period_open,pnl,portfolio_value,positions,returns,sharpe,short_exposure,short_value,shorts_count,sortino,starting_cash,starting_exposure,starting_value,trading_days,transactions,treasury_period_return
2017-01-03 21:00:00+00:00,216.99,-0.3710077004015923,,0.0,,0.007650023780885418,,,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2017-01-03 21:00:00+00:00,2017-01,2017-01-03 14:31:00+00:00,0.0,10000000.0,[],0.0,,0.0,0.0,0,,10000000.0,0.0,0.0,1,[],0.0
2017-01-04 21:00:00+00:00,226.99,0.8591453061742023,0.0,0.0,0.0,0.013644487198695598,0.019094463403568063,0.0,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2017-01-04 21:00:00+00:00,2017-01,2017-01-04 14:31:00+00:00,0.0,10000000.0,[],0.0,,0.0,0.0,0,,10000000.0,0.0,0.0,2,[],0.0
2017-01-05 21:00:00+00:00,226.75,0.676593308831697,0.0,0.0,0.0,0.012839344366357253,0.07089582734595148,0.0,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,"[{'status': 0, 'created': Timestamp('2017-01-05 21:00:00+0000', tz='UTC'), 'limit_reached': False, 'stop': None, 'amount': 1000, 'stop_reached': False, 'commission': 0, 'reason': None, 'limit': None, 'sid': Equity(1894 [MSFT]), 'dt': Timestamp('2017-01-05 21:00:00+0000', tz='UTC'), 'id': '7d0da850a5764ebaaeb52ad4fc11d20b', 'filled': 0}]",2017-01-05 21:00:00+00:00,2017-01,2017-01-05 14:31:00+00:00,0.0,10000000.0,[],0.0,,0.0,0.0,0,,10000000.0,0.0,0.0,3,[],0.0
2017-01-06 21:00:00+00:00,229.01,0.3947026088857736,2.5732577251528506e-05,-3.2420000000144e-06,-0.0002472889932317394,0.01646318723608231,0.058144942072978496,4.170418931842554e-05,-62872.42,9937127.58,62840.0,62840.0,0.0,0.006284020372794049,62840.0,62840.0,1,-3.241999999943346e-06,0.006284020372794049,0.006284020372794049,"[{'status': 1, 'created': Timestamp('2017-01-05 21:00:00+0000', tz='UTC'), 'limit_reached': False, 'stop': None, 'amount': 1000, 'stop_reached': False, 'commission': 1.0, 'reason': None, 'limit': None, 'sid': Equity(1894 [MSFT]), 'dt': Timestamp('2017-01-06 21:00:00+0000', tz='UTC'), 'id': '7d0da850a5764ebaaeb52ad4fc11d20b', 'filled': 1000}]",2017-01-06 21:00:00+00:00,2017-01,2017-01-06 14:31:00+00:00,-32.419999999925494,9999967.58,"[{'amount': 1000L, 'last_sale_price': 62.84, 'cost_basis': 62.87242, 'sid': Equity(1894 [MSFT])}]",-3.2420000000144e-06,-7.937253933193772,0.0,0.0,0,-7.937253933193771,10000000.0,0.0,0.0,4,"[{'commission': None, 'amount': 1000, 'sid': Equity(1894 [MSFT]), 'order_id': '7d0da850a5764ebaaeb52ad4fc11d20b', 'price': 62.87142, 'dt': Timestamp('2017-01-06 21:00:00+0000', tz='UTC')}]",0.0
2017-01-09 21:00:00+00:00,231.28,0.8143749802290328,0.00013804307243189096,-2.3242000000034402e-05,-0.0020756437833284215,0.013107725310470109,0.07275378369352845,0.0013715090028432854,0.0,9937127.58,62640.0,62640.0,0.0,0.006264145591271832,62640.0,62640.0,1,-2.3242000000038844e-05,0.006284020372794049,0.006264145591271832,[],2017-01-09 21:00:00+00:00,2017-01,2017-01-09 14:31:00+00:00,-200.0,9999767.58,"[{'amount': 1000L, 'last_sale_price': 62.64, 'cost_basis': 62.87242, 'sid': Equity(1894 [MSFT])}]",-2.0000064840264287e-05,-8.48575772267024,0.0,0.0,0,-8.143787556754138,9937127.58,62840.0,62840.0,5,[],0.0
2017-01-10 21:00:00+00:00,229.87,0.3740196933235665,0.0001246567020594073,-2.5242000000091913e-05,-0.0017304400271295223,0.013107725310470109,0.06724566798784384,0.0012199585274364332,0.0,9937127.58,62620.00000000001,62620.00000000001,0.0,0.006262158069393988,62620.00000000001,62620.00000000001,1,-2.5242000000105235e-05,0.006284020372794049,0.006262158069393988,"[{'status': 0, 'created': Timestamp('2017-01-10 21:00:00+0000', tz='UTC'), 'limit_reached': False, 'stop': None, 'amount': 1000, 'stop_reached': False, 'commission': 0, 'reason': None, 'limit': None, 'sid': Equity(1894 [MSFT]), 'dt': Timestamp('2017-01-10 21:00:00+0000', tz='UTC'), 'id': 'd09375ecbb9f4cb19ec9348ffd4571b3', 'filled': 0}]",2017-01-10 21:00:00+00:00,2017-01,2017-01-10 14:31:00+00:00,-20.0,9999747.58,"[{'amount': 1000L, 'last_sale_price': 62.620000000000005, 'cost_basis': 62.87242, 'sid': Equity(1894 [MSFT])}]",-2.0000464850955524e-06,-8.504706591391104,0.0,0.0,0,-8.034910901226183,9937127.58,62640.0,62640.0,6,[],0.0
2017-01-11 21:00:00+00:00,229.73000000000002,-0.7355471819059461,0.00036584150622684836,2.849849999986276e-05,0.00012621812157822157,0.01597076654731877,0.061508767982959255,0.0015711926513232,-63222.595000000016,9873904.985,126380.00000000001,126380.00000000001,0.0,0.012637639846220844,126380.00000000001,126380.00000000001,1,-2.5242000000105235e-05,0.012637639846220844,0.012637639846220844,"[{'status': 1, 'created': Timestamp('2017-01-10 21:00:00+0000', tz='UTC'), 'limit_reached': False, 'stop': None, 'amount': 1000, 'stop_reached': False, 'commission': 1.0, 'reason': None, 'limit': None, 'sid': Equity(1894 [MSFT]), 'dt': Timestamp('2017-01-11 21:00:00+0000', tz='UTC'), 'id': 'd09375ecbb9f4cb19ec9348ffd4571b3', 'filled': 1000}]",2017-01-11 21:00:00+00:00,2017-01,2017-01-11 14:31:00+00:00,537.4049999993294,10000284.985,"[{'amount': 2000L, 'last_sale_price': 63.190000000000005, 'cost_basis': 63.04750750000001, 'sid': Equity(1894 [MSFT])}]",5.3741856551825506e-05,2.8044680843732825,0.0,0.0,0,8.398910827449825,9937127.58,62620.00000000001,62620.00000000001,7,"[{'commission': None, 'amount': 1000, 'sid': Equity(1894 [MSFT]), 'order_id': 'd09375ecbb9f4cb19ec9348ffd4571b3', 'price': 63.22159500000001, 'dt': Timestamp('2017-01-11 21:00:00+0000', tz='UTC')}]",0.0
2017-01-12 21:00:00+00:00,229.59,0.90395785977747,0.000754211433299831,-8.750150000014223e-05,-0.005224725275390328,0.013420914203513101,0.06295442428970736,0.00584931688404046,0.0,9873904.985,125220.0,125220.0,0.0,0.01252309578966624,125220.0,125220.0,1,-0.00011599669426822228,0.012637639846220844,0.01252309578966624,[],2017-01-12 21:00:00+00:00,2017-01,2017-01-12 14:31:00+00:00,-1160.0,9999124.985,"[{'amount': 2000L, 'last_sale_price': 62.61, 'cost_basis': 63.04750750000001, 'sid': Equity(1894 [MSFT])}]",-0.00011599669426820558,-3.654351781378489,0.0,0.0,0,-4.169787528642867,9873904.985,126380.00000000001,126380.00000000001,8,[],0.0
2017-01-13 21:00:00+00:00,237.75,-0.8584355832479436,0.000721927329663309,-6.950150000017974e-05,-0.004571674499846026,0.015747193552136052,0.0589800111664266,0.005975768553144627,0.0,9873904.985,125400.0,125400.0,0.0,0.01254087160938816,125400.0,125400.0,1,-0.00011599669426822228,0.012637639846220844,0.01254087160938816,"[{'status': 0, 'created': Timestamp('2017-01-13 21:00:00+0000', tz='UTC'), 'limit_reached': False, 'stop': None, 'amount': 1000, 'stop_reached': False, 'commission': 0, 'reason': None, 'limit': None, 'sid': Equity(2862 [TSLA]), 'dt': Timestamp('2017-01-13 21:00:00+0000', tz='UTC'), 'id': '323759038bae4837b626bc10c7d2f71a', 'filled': 0}]",2017-01-13 21:00:00+00:00,2017-01,2017-01-13 14:31:00+00:00,180.0,9999304.985,"[{'amount': 2000L, 'last_sale_price': 62.7, 'cost_basis': 63.04750750000001, 'sid': Equity(1894 [MSFT])}]",1.800157516473888e-05,-2.695382746437849,0.0,0.0,0,-3.122487085604815,9873904.985,125220.0,125220.0,9,[],0.0
2017-01-17 21:00:00+00:00,235.58,0.2464216428117871,0.0007070835066815127,-0.00011538050000015065,-0.004811901791214342,0.01216815863134113,0.06157327762100202,0.00620980376410553,-235698.79000000004,9638206.195,360640.0,360640.0,0.0,0.03606816156251516,360640.0,360640.0,2,-0.00014387489978119532,0.03606816156251516,0.03606816156251516,"[{'status': 1, 'created': Timestamp('2017-01-13 21:00:00+0000', tz='UTC'), 'limit_reached': False, 'stop': None, 'amount': 1000, 'stop_reached': False, 'commission': 1.0, 'reason': None, 'limit': None, 'sid': Equity(2862 [TSLA]), 'dt': Timestamp('2017-01-17 21:00:00+0000', tz='UTC'), 'id': '323759038bae4837b626bc10c7d2f71a', 'filled': 1000}]",2017-01-17 21:00:00+00:00,2017-01,2017-01-17 14:31:00+00:00,-458.78999999910593,9998846.195,"[{'amount': 2000L, 'last_sale_price': 62.53, 'cost_basis': 63.04750750000001, 'sid': Equity(1894 [MSFT])}, {'amount': 1000L, 'last_sale_price': 235.58, 'cost_basis': 235.69879000000003, 'sid': Equity(2862 [TSLA])}]",-4.5882188880908004e-05,-4.111981900334842,0.0,0.0,0,-4.582497769232192,9873904.985,125400.0,125400.0,10,"[{'commission': None, 'amount': 1000, 'sid': Equity(2862 [TSLA]), 'order_id': '323759038bae4837b626bc10c7d2f71a', 'price': 235.69779000000003, 'dt': Timestamp('2017-01-17 21:00:00+0000', tz='UTC')}]",0.0
